scenario,threshold,false_positives,false_negatives,missed_fraud_amount,estimated_false_positive_cost,estimated_false_negative_cost,estimated_total_cost
Low Cost,0.1,380556,0,0.0,1902780,0.0,1902780.0
Moderate Cost,0.1,380556,0,0.0,5708340,0.0,5708340.0
High Cost,0.1,380556,0,0.0,11416680,0.0,11416680.0
Low Cost,0.2,274242,72,1837.45,1371210,1837.45,1373047.45
Moderate Cost,0.2,274242,72,1837.45,4113630,2756.175,4116386.175
High Cost,0.2,274242,72,1837.45,8227260,3674.9,8230934.9
Low Cost,0.3,170514,286,6118.63,852570,6118.63,858688.63
Moderate Cost,0.3,170514,286,6118.63,2557710,9177.945,2566887.945
High Cost,0.3,170514,286,6118.63,5115420,12237.26,5127657.26
Low Cost,0.4,114263,489,12378.61,571315,12378.61,583693.61
Moderate Cost,0.4,114263,489,12378.61,1713945,18567.915,1732512.915
High Cost,0.4,114263,489,12378.61,3427890,24757.22,3452647.22
Low Cost,0.5,67204,556,20113.79,336020,20113.79,356133.79
Moderate Cost,0.5,67204,556,20113.79,1008060,30170.685,1038230.685
High Cost,0.5,67204,556,20113.79,2016120,40227.58,2056347.58
Low Cost,0.6,24858,585,27791.340000000004,124290,27791.340000000004,152081.34
Moderate Cost,0.6,24858,585,27791.340000000004,372870,41687.01000000001,414557.01
High Cost,0.6,24858,585,27791.340000000004,745740,55582.68000000001,801322.68
Low Cost,0.7,10062,599,32055.03,50310,32055.03,82365.03
Moderate Cost,0.7,10062,599,32055.03,150930,48082.545,199012.54499999998
High Cost,0.7,10062,599,32055.03,301860,64110.06,365970.06
Low Cost,0.8,6802,748,78187.67,34010,78187.67,112197.67
Moderate Cost,0.8,6802,748,78187.67,102030,117281.505,219311.505
High Cost,0.8,6802,748,78187.67,204060,156375.34,360435.33999999997
Low Cost,0.9,5307,1066,191356.82,26535,191356.82,217891.82
Moderate Cost,0.9,5307,1066,191356.82,79605,287035.23,366640.23
High Cost,0.9,5307,1066,191356.82,159210,382713.64,541923.64
