transaction_hour,legitimate_transactions,false_positives,false_positive_rate_percent
0,17965,149,0.8293904814917896
1,18292,174,0.9512355127924775
2,17972,172,0.9570442911195193
3,18005,184,1.021938350458206
4,18060,198,1.0963455149501662
5,17897,211,1.1789685422137788
6,18092,237,1.3099712580145921
7,18082,257,1.4213029532131403
8,17983,342,1.9017961407996442
9,18032,410,2.273735581188997
10,18037,463,2.5669457226811554
11,18071,512,2.8332687731724864
12,28020,500,1.7844396859386153
13,28164,477,1.6936514699616532
14,28190,509,1.8056048244058178
15,28027,522,1.8624897420344666
16,28542,560,1.9620208815079532
17,28048,542,1.9324015972618367
18,27971,567,2.0270994959064743
19,27901,519,1.8601483817784308
20,27947,630,2.2542670054030842
21,28178,591,2.0973809354815813
22,27838,641,2.30260794597313
23,28260,695,2.45930644019816
