category,total_transactions,fraudulent_transactions,fraud_rate_percent
shopping_net,97543,1713,1.7561485703740916
misc_net,63287,915,1.4457945549638946
grocery_pos,123638,1743,1.4097607531665022
shopping_pos,116672,843,0.7225383982446517
gas_transport,131659,618,0.4693944204346076
misc_pos,79655,250,0.31385349318937916
grocery_net,45452,134,0.29481650972454454
travel,40507,116,0.2863702569926186
entertainment,94014,233,0.24783542876592848
personal_care,90758,220,0.2424028735758831
kids_pets,113035,239,0.21143893484319018
food_dining,91461,151,0.1650976919123998
home,123115,198,0.16082524468992407
health_fitness,85879,133,0.15486905995645037
